unit_id,row,col,area_ha,aml_count,severity_sum,severity_mean,unfunded_cost_sum,dist_water_m,water_km,slope_deg_mean,risk_index,water_priority,restoration_cost_proxy,benefit_proxy,priority_score,candidate
0,0,9,241.46364813371608,0.0,0.0,0.0,0.0,76.11754980663076,3.2336199091804767,13.552575836875546,0.404593892750566,3.923326330882142,241.46364813371608,2.366257058191637,1.4755361835864345,1
1,0,10,336.6646116100303,0.0,0.0,0.0,0.0,343.8298986172709,3.651397771133982,12.891148864198795,0.3417403232121442,3.298071394615175,336.6646116100303,1.9907760205197316,1.0809673705751963,1
2,0,11,116.52739903189544,0.0,0.0,0.0,0.0,572.1726115286478,0.5487250375534718,11.203935568691582,0.284025342821309,0.8739426044053221,116.52739903189544,0.72099664502397,0.5583414520703469,0
3,0,12,327.11945480773795,0.0,0.0,0.0,0.0,113.52368789158092,4.556976657190011,12.166807011542495,0.3784068388496451,4.960618873238726,327.11945480773795,2.858716275469008,1.5726253817400049,1
4,0,13,217.63930560619863,0.0,0.0,0.0,0.0,656.1047017110961,0.2574881494634578,14.205064309404252,0.3109593029215416,0.6524710538730675,217.63930560619863,0.6371948298580754,0.4126646889693547,0
5,0,14,129.2781089353596,0.0,0.0,0.0,0.0,269.79269492106374,0.4665369103252422,13.43146993529122,0.362256329009146,1.1197563121417695,129.2781089353596,0.9221344850800308,0.6968997731154232,1
6,1,9,266.0659945204575,0.0,0.0,0.0,0.0,452.87644893253025,3.2285762731977035,11.980763611875378,0.3118115223296099,2.6885147646441983,266.0659945204575,1.656068904651709,0.99453742918914,1
7,1,10,400.0,0.0,0.0,0.0,0.0,666.2999345246304,4.933536863579751,14.520470233835342,0.3136677838612862,3.0474968122989923,400.0,1.8374161900107824,0.9187080950053912,0
8,1,11,400.0,0.0,0.0,0.0,0.0,485.32994084976906,4.268913343123436,13.846722239813609,0.3305436067022373,3.242985005589852,400.0,1.9520361094971632,0.9760180547485816,1
9,1,12,400.0,0.0,0.0,0.0,0.0,130.9852494485656,5.235674842734648,12.811208031243748,0.3827656559919848,5.470125494142274,400.0,3.117828403063122,1.558914201531561,1
10,1,13,400.0,0.0,0.0,0.0,0.0,199.53360434882643,5.020349579569288,11.046888260630029,0.3457252262972642,4.931344766565265,400.0,2.8113976095798967,1.4056988047899484,1
11,1,14,400.0,0.0,0.0,0.0,0.0,418.90547001682967,3.571885421961328,15.324871501378846,0.3599713581713024,3.0072324825079324,400.0,1.8635875994252689,0.9317937997126344,1
12,1,15,90.14824574243572,0.0,0.0,0.0,0.0,866.766443515215,0.0,15.181789881727669,0.2987813009054187,0.4203084453643422,90.14824574243572,0.5089355235875899,0.4153319147897361,0
13,2,9,381.59193193052823,0.0,0.0,0.0,0.0,92.9970644665291,5.160992702866962,13.972704104671909,0.4060765292264088,5.613872985912191,381.59193193052823,3.213013022182504,1.6443429830430198,1
14,2,10,400.0,0.0,0.0,0.0,0.0,19.521319968046868,5.096220650795842,14.62146172045093,0.4317219692177308,5.978368434872586,400.0,3.420906186654024,1.710453093327012,1
15,2,11,400.0,0.0,0.0,0.0,0.0,225.0761612173396,3.896539491174945,13.966155698361955,0.3778077857179114,3.9096684230531222,400.0,2.332641997244473,1.1663209986222365,1
16,2,12,400.0,0.0,0.0,0.0,0.0,487.30271959847505,2.493159276452101,14.51736526393596,0.3387970700452866,2.1457815477472604,400.0,1.4116878439189169,0.7058439219594583,1
17,2,13,400.0,0.0,0.0,0.0,0.0,7.592527463094459,7.026409758896171,13.852029700115413,0.4248468585816318,7.965699785086131,400.0,4.407696751124697,2.2038483755623486,1
18,2,14,400.0,0.0,0.0,0.0,0.0,204.22740684833312,7.730837552395642,14.644751516021328,0.3906713641559087,7.1180506154059415,400.0,3.949696671858879,1.97484833592944,1
19,2,15,388.3932985347934,0.0,0.0,0.0,0.0,206.2520430042212,5.619653926985721,15.3188444304179,0.3988598614350974,5.3859356608356315,388.3932985347934,3.091827691852913,1.5686727411808228,1
20,3,8,220.9928831693219,0.0,0.0,0.0,0.0,421.7200601839896,4.692869381476471,13.120374461437793,0.3313820343325181,3.7340533991780256,220.9928831693219,2.198408733921531,1.4160605014998895,1
21,3,9,400.0,0.0,0.0,0.0,0.0,347.9526782229099,3.1695780465043324,12.680765888389246,0.338326741221544,2.9442736978919224,400.0,1.8104635901675052,0.9052317950837526,1
22,3,10,400.0,0.0,0.0,0.0,0.0,257.8711342869089,4.668851544114963,12.603240388701536,0.3539782219119738,4.380292107602393,400.0,2.54412427571317,1.272062137856585,1
23,3,11,400.0,0.0,0.0,0.0,0.0,8.245412426337603,6.088444068318943,14.305575479143933,0.4304717073798666,7.030237223011939,400.0,3.945590318885836,1.972795159442918,1
24,3,12,400.0,0.0,0.0,0.0,0.0,162.4715062897209,7.797180445942056,13.820821156104406,0.3888496912480447,7.477957999400088,400.0,4.127828690948089,2.0639143454740445,1
25,3,13,400.0,0.0,0.0,0.0,0.0,60.95565509219565,3.7763869461170945,14.591308616058171,0.4213864898564642,4.493935119789761,400.0,2.6683540497513447,1.3341770248756724,1
26,3,14,400.0,0.0,0.0,0.0,0.0,189.69499639318323,3.3552947702861213,14.43196665118506,0.3909400576620452,3.602749475328486,400.0,2.192314795326288,1.096157397663144,1
27,3,15,382.53393438025824,0.0,0.0,0.0,0.0,166.2577648845384,4.233583796106603,14.761244583323046,0.4000454404009901,4.43194489879372,382.53393438025824,2.61601788979785,1.3372035511122733,1
28,4,8,342.25306225560564,0.0,0.0,0.0,0.0,46.247601647513854,5.2255477668672885,14.730817677747265,0.4266516235359202,5.944187382168074,342.25306225560564,3.3987453146199575,1.831583047588452,1
